"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN CSA","1,418,674","1,418,653","1,422,288","1,431,157","1,439,808","1,452,701","1,459,523","1,463,112","1,470,650","1,479,327","1,484,821","1,489,142"
"Lubbock-Plainview-Levelland, TX CSA","350,013","350,022","351,363","354,650","357,125","360,251","363,970","367,345","370,930","374,025","375,841","378,684"
"Macon-Bibb County--Warner Robins, GA CSA","399,888","399,871","400,707","404,268","406,326","405,914","406,158","406,088","407,655","409,148","412,480","415,405"
"Madison-Janesville-Beloit, WI CSA","827,742","827,746","828,935","835,262","842,153","849,956","857,248","864,475","873,322","881,422","887,119","892,661"
"Mankato-New Ulm, MN CSA","122,633","122,635","122,687","122,983","123,406","122,985","123,942","124,439","125,347","126,140","126,702","126,935"
"Mansfield-Ashland-Bucyrus, OH CSA","221,398","221,397","221,237","219,706","218,648","218,180","217,567","217,322","216,857","215,802","216,177","216,132"
"Marinette-Iron Mountain, WI-MI CSA","96,369","96,369","96,187","95,733","95,619","95,411","94,810","94,124","93,275","93,040","92,994","92,664"
"Martin-Union City, TN CSA","66,828","66,822","66,866","66,532","65,864","65,172","64,829","64,433","64,157","63,700","63,687","63,397"
"Mayagüez-San Germán, PR CSA","253,673","253,933","253,559","250,330","247,030","243,893","239,653","235,286","230,870","225,291","216,458","216,439"
"McAllen-Edinburg, TX CSA","835,737","835,731","840,283","857,159","870,304","881,000","892,784","903,151","912,854","920,379","926,547","933,340"
"Medford-Grants Pass, OR CSA","285,919","285,923","286,220","287,449","288,607","290,310","292,566","295,931","299,870","303,330","306,561","308,431"
"Memphis-Forrest City, TN-MS-AR CSA","1,344,358","1,344,355","1,345,683","1,351,735","1,359,388","1,359,622","1,360,520","1,361,441","1,362,551","1,364,579","1,368,006","1,371,039"
"Miami-Port St. Lucie-Fort Lauderdale, FL CSA","6,199,860","6,201,499","6,220,057","6,309,628","6,392,688","6,476,887","6,557,728","6,646,058","6,747,608","6,821,743","6,856,948","6,889,936"
"Midland-Odessa, TX CSA","278,801","278,807","278,858","284,750","296,807","307,284","316,775","327,877","327,324","327,800","340,146","348,826"
"Milwaukee-Racine-Waukesha, WI CSA","2,025,989","2,026,050","2,026,733","2,031,082","2,037,220","2,041,742","2,045,391","2,045,947","2,045,323","2,045,557","2,046,784","2,047,966"
"Minneapolis-St. Paul, MN-WI CSA","3,706,278","3,706,274","3,712,764","3,746,958","3,779,336","3,815,342","3,852,572","3,882,949","3,919,926","3,959,301","3,995,657","4,027,861"
"Mobile-Daphne-Fairhope, AL CSA","612,838","612,984","614,053","616,981","621,107","625,700","630,200","634,233","639,167","643,088","648,165","652,770"
"Monroe-Ruston, LA CSA","251,155","251,227","251,525","251,944","252,177","252,687","252,768","253,102","252,792","251,365","249,250","247,003"
"Montgomery-Selma-Alexander City, AL CSA","471,511","471,727","472,229","471,688","470,055","468,372","466,951","465,840","465,350","464,749","462,494","461,516"
"Morgantown-Fairmont, WV CSA","186,127","186,135","186,856","189,370","191,573","192,671","194,188","195,284","195,907","195,957","195,295","195,116"
"Moses Lake-Othello, WA CSA","107,848","107,855","108,348","109,471","110,244","110,799","112,074","112,760","113,590","115,008","116,408","117,716"
"Mount Pleasant-Alma, MI CSA","112,787","112,791","112,726","112,734","112,639","112,155","111,561","112,098","112,218","112,056","111,065","110,583"
